iter	Logloss
0	0.689766955
1	0.6864158289
2	0.6832930152
3	0.6801679241
4	0.6768268187
5	0.6734284358
6	0.670339442
7	0.6671994337
8	0.6647248909
9	0.6620616059
10	0.6594589575
11	0.6571438917
12	0.6547930703
13	0.6522900026
14	0.6503854438
15	0.6481576037
16	0.6456427503
17	0.6437313023
18	0.6415485553
19	0.6393070506
20	0.6374561822
21	0.635535169
22	0.6337030325
23	0.6315231323
24	0.6296307009
25	0.6277795478
26	0.6255316663
27	0.6237955236
28	0.621986503
29	0.6200845064
30	0.6180392593
31	0.6163538463
32	0.6146963319
33	0.6133073266
34	0.6115296207
35	0.609599327
36	0.6080733911
37	0.6064726417
38	0.6050247079
39	0.6033614429
40	0.601916242
41	0.6006982149
42	0.5993999652
43	0.5982291378
44	0.596877824
45	0.595517799
46	0.59409839
47	0.5930802075
48	0.5919962072
49	0.5908231024
50	0.5894372285
51	0.5883414425
52	0.5873406254
53	0.5860999947
54	0.5848192813
55	0.5838116318
56	0.582785706
57	0.5816156188
58	0.580626872
59	0.5796111377
60	0.5782183747
61	0.5774722882
62	0.576561942
63	0.5756173205
64	0.5746987756
65	0.5736484243
66	0.5724450296
67	0.5713705945
68	0.5705186075
69	0.5694697935
70	0.5685404877
71	0.5675402969
72	0.5668819484
73	0.5666425335
74	0.5654244494
75	0.5647827832
76	0.5641665103
77	0.5632056051
78	0.5627020081
79	0.561859928
80	0.5610496749
81	0.5604415438
82	0.5594608819
83	0.5586829114
84	0.5577310591
85	0.5570523276
86	0.5565557907
87	0.55589061
88	0.5552618112
89	0.5547857142
90	0.5540710563
91	0.5535466778
92	0.5529378635
93	0.5521466839
94	0.5515710631
95	0.5507234602
96	0.5502136572
97	0.5494619341
98	0.5487941343
99	0.5481622041
100	0.5475614178
101	0.5470357866
102	0.5464484941
103	0.5458015328
104	0.5450003325
105	0.5444556848
106	0.5441376985
107	0.543410287
108	0.5429269591
109	0.5425528911
110	0.5419601327
111	0.5411693516
112	0.5406638188
113	0.5400428203
114	0.5395661539
115	0.5390209938
116	0.538417076
117	0.537745917
118	0.5372923666
119	0.5369442612
120	0.536615514
121	0.5360077815
122	0.5355200127
123	0.5349618712
124	0.5344679534
125	0.5338160956
126	0.5328273489
127	0.532148105
128	0.5315181675
129	0.5309708439
130	0.5303006528
131	0.529771207
132	0.5294792972
133	0.5290963472
134	0.5285659904
135	0.5281648778
